date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:29	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_square/btnPrevious.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_square/btnPrevious.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:30	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_square/sprite.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_square/sprite.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:30	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_square/btnNext.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_square/btnNext.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:31	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_square/btnPrevious.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_square/btnPrevious.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:31	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/sprite.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/sprite.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:32	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternTop.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternTop.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:32	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternLeft.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternLeft.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:33	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternRight.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternRight.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:33	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/loader.gif	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/loader.gif	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:34	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/btnNext.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/btnNext.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
